scope,fold,threshold,topk,detections_kept,true_positive_detections,false_positives,total_scans,false_positives_per_scan,covered_nodules,total_nodules,nodule_coverage,covered_positive_scans,positive_scans,positive_scan_coverage
fold_8,8,0.2,6,528,79,449,88,5.1022727272727275,79,118,0.6694915254237288,55,60,0.9166666666666666
fold_9,9,0.2,6,528,84,444,88,5.045454545454546,84,105,0.8,55,59,0.9322033898305084
pooled,,0.2,6,5328,933,4395,888,4.949324324324325,933,1186,0.7866779089376054,563,601,0.9367720465890182
fold_0,0,0.2,7,623,96,527,89,5.921348314606742,96,112,0.8571428571428571,65,67,0.9701492537313433
fold_1,1,0.2,7,623,113,510,89,5.730337078651686,113,128,0.8828125,57,61,0.9344262295081968
fold_2,2,0.2,7,623,105,518,89,5.820224719101123,105,128,0.8203125,55,56,0.9821428571428571
fold_3,3,0.2,7,623,107,516,89,5.797752808988764,107,119,0.8991596638655462,64,65,0.9846153846153847
fold_4,4,0.2,7,623,105,518,89,5.820224719101123,105,128,0.8203125,62,62,1.0
fold_5,5,0.2,7,623,89,534,89,6.0,89,108,0.8240740740740741,50,54,0.9259259259259259
fold_6,6,0.2,7,623,109,514,89,5.775280898876405,109,129,0.8449612403100775,62,63,0.9841269841269841
fold_7,7,0.2,7,623,67,556,89,6.247191011235955,67,111,0.6036036036036037,42,54,0.7777777777777778
fold_8,8,0.2,7,616,82,534,88,6.068181818181818,82,118,0.6949152542372882,56,60,0.9333333333333333
fold_9,9,0.2,7,616,85,531,88,6.034090909090909,85,105,0.8095238095238095,55,59,0.9322033898305084
pooled,,0.2,7,6216,958,5258,888,5.921171171171171,958,1186,0.8077571669477235,568,601,0.9450915141430949
fold_0,0,0.2,8,712,97,615,89,6.910112359550562,97,112,0.8660714285714286,65,67,0.9701492537313433
fold_1,1,0.2,8,712,114,598,89,6.719101123595506,114,128,0.890625,57,61,0.9344262295081968
fold_2,2,0.2,8,712,108,604,89,6.786516853932584,108,128,0.84375,55,56,0.9821428571428571
fold_3,3,0.2,8,712,108,604,89,6.786516853932584,108,119,0.907563025210084,64,65,0.9846153846153847
fold_4,4,0.2,8,712,110,602,89,6.764044943820225,110,128,0.859375,62,62,1.0
fold_5,5,0.2,8,712,91,621,89,6.977528089887641,91,108,0.8425925925925926,50,54,0.9259259259259259
fold_6,6,0.2,8,712,112,600,89,6.741573033707865,112,129,0.8682170542635659,62,63,0.9841269841269841
fold_7,7,0.2,8,712,69,643,89,7.224719101123595,69,111,0.6216216216216216,42,54,0.7777777777777778
fold_8,8,0.2,8,704,83,621,88,7.056818181818182,83,118,0.7033898305084746,56,60,0.9333333333333333
fold_9,9,0.2,8,704,87,617,88,7.011363636363637,87,105,0.8285714285714286,55,59,0.9322033898305084
pooled,,0.2,8,7104,979,6125,888,6.8975225225225225,979,1186,0.8254637436762225,568,601,0.9450915141430949
fold_0,0,0.2,9,801,97,704,89,7.910112359550562,97,112,0.8660714285714286,65,67,0.9701492537313433
fold_1,1,0.2,9,801,114,687,89,7.719101123595506,114,128,0.890625,57,61,0.9344262295081968
fold_2,2,0.2,9,801,109,692,89,7.775280898876405,109,128,0.8515625,55,56,0.9821428571428571
fold_3,3,0.2,9,801,109,692,89,7.775280898876405,109,119,0.9159663865546218,65,65,1.0
fold_4,4,0.2,9,801,113,688,89,7.730337078651686,113,128,0.8828125,62,62,1.0
